Country,Year,Rank,Total,Percentile,Decision,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Personal Safety,Environmental Quality,Tolerance and Inclusion,Press Freedom Index,Tolerance for immigrants,Discrimination and violence against minorities
South Sudan,2014,1st,112.9,100,Alert,9.9,10,10,8.8,8.9,6.8,9.7,9.9,9.9,9.1,10,9.9,5.4,5.4,5.4,3.6,5.4,10
Somalia,2014,2nd,112.6,99.4,Alert,9.4,10,9.3,9.1,8.7,8.9,9.1,9.6,9.8,9.5,10,9.2,5.4,5.4,5.4,7.4,5.4,9.3
Central African Republic,2014,3rd,110.6,98.8,Alert,9.9,9.7,9.5,7.8,9.4,7,9.5,9.7,9.5,8.7,10,9.9,5.4,6.8,7.1,2.7,7.4,8.5
Congo Democratic Republic,2014,4th,110.2,98.3,Alert,9.4,9.5,9.6,8.2,8.5,7.2,9.3,9.4,10,9.4,9.9,9.8,5.3,5,5.8,4.2,7.1,9.4
Sudan,2014,5th,110.1,97.7,Alert,9.6,10,9.9,8.1,8.2,8.7,9.3,9.1,9.3,8.6,9.7,9.6,4.7,6.6,6.9,7,5.3,10
Chad,2014,6th,108.7,97.1,Alert,9.1,9.8,8.5,7.7,8.8,8.3,9.4,10,9.5,9.6,9.8,8.2,5.3,5.8,6.3,3.5,5.4,8.8
Afghanistan,2014,7th,106.5,96.6,Alert,10,9.4,8.7,8.3,7.5,7.8,9.5,9,8.3,8.8,9.3,9.9,5.7,8,8.3,3.7,4.3,9.2
Yemen,2014,8th,105.4,96,Alert,9.5,9.4,9.3,9.1,7.8,7.3,8.9,8.5,9,9.1,9,8.5,4.7,5.3,8,6.9,2.4,9
Haiti,2014,9th,104.3,95.4,Alert,7.5,9.1,7,9.4,9.3,9.1,8.9,9.5,7.5,8.7,8.5,9.8,3.9,5.3,6.2,2.4,4.3,7
Pakistan,2014,10th,103,94.9,Alert,9.9,9.5,10,7.5,7.6,6.9,8.5,7.6,8.6,8.8,8.8,9.3,4.4,5.2,8,5.1,4.1,9.7
Zimbabwe,2014,11th,102.8,94.3,Alert,8.1,10,8.1,8.3,8.3,8.3,9.3,8.8,8.6,8.9,8.4,7.7,4.6,4.8,5.6,3.8,6.6,8.4
Guinea,2014,12th,102.7,93.7,Alert,9.2,9.6,8.4,8.9,7.9,7.5,9.9,9.2,8.5,8,8.3,7.3,4.2,5.1,6,2.8,7.4,7.6
Iraq,2014,13th,102.2,93.2,Alert,10,9.6,10,7,8.1,8,8.7,7.7,8.7,8,8.5,7.9,5.8,6.1,7.1,4.5,5.6,10
Cote d Ivoire,2014,14th,101.7,92.6,Alert,8.8,9.4,9,7.4,7.6,7,8.8,8.7,8.7,7.8,9.1,9.4,5.4,4.2,6,3,8.1,9
Syria,2014,15th,101.6,92,Alert,10,9.6,10,6.7,6.9,6.9,9.8,7.2,9.9,6,10,8.6,5.4,5.4,5.4,7.9,4.3,9.3
Guinea Bissau,2014,16th,100.6,91.5,Alert,8.6,9.6,6,8.4,8.1,8.3,9.3,9.1,7.5,8.5,8.1,9.1,4.3,5.3,5.4,2.9,5.4,5.7
Nigeria,2014,17th,99.7,90.9,Alert,9.5,9.5,9.8,7.3,8.9,7,8.8,9,8.7,8.3,6.9,6,6,4.1,7.2,3.4,6.2,9.8
Kenya,2014,18th,99,90.3,Alert,8.2,9.3,9.3,7.9,8,7.8,8.4,8.2,6.8,8.7,8.2,8.2,4,3.4,6.2,2.8,6.8,9
Ethiopia,2014,19th,97.9,89.2,Alert,8.1,8.7,8.9,7.4,7.3,6.7,7.1,8.9,8,9.4,9,8.4,3.1,4.8,6.8,4,6.4,8.6
Niger,2014,19th,97.9,89.2,Alert,8.4,8.9,7.5,8.1,7.9,6.6,7.8,9.3,7.3,9.3,8.2,8.6,3.6,6.6,5.3,2.3,7.3,7.8
Burundi,2014,21st,97.1,88.7,Alert,7.4,7.9,8.1,8.8,7.5,6.5,8.1,8.6,8,8.7,9,8.5,4,4.6,7.1,3.8,5.7,8.1
Uganda,2014,22nd,96,88.1,Alert,7.9,8.9,8.3,7.3,7.6,6.9,7.8,8.3,7.6,8.7,8.7,8,3.9,4.3,5.5,3.2,7.1,8
Eritrea,2014,23rd,95.5,87.5,Alert,7.6,8.1,6.4,8,7.2,7.5,8.8,8.4,9.2,8.5,7.3,8.5,5.4,5.4,5.4,8.5,5.4,6.1
Myanmar,2014,24th,94.3,86.4,Alert,8,8.6,9.3,7,8.1,5.3,9.3,8.3,8,7.3,8.2,6.9,3.2,5.5,6.6,4.5,3.7,9
Liberia,2014,24th,94.3,86.4,Alert,6.8,8.3,6.5,8,8,6.9,6.9,9.3,6.3,8.5,9.1,9.7,3.3,4.2,6,3,5.3,6.5
North Korea,2014,26th,94,85.8,Alert,8.5,8.2,6.6,9,8,4.4,9.9,9.2,9.6,7.5,4.7,8.4,5.4,5.4,5.4,8.4,5.4,6.6
Cameroon,2014,27th,93.1,85.3,Alert,7.7,9.5,7.8,5.9,7.5,7.5,8.2,8.5,8.3,8.1,7.6,6.5,3.9,6.4,5,3.5,7.4,7.8
Mauritania,2014,28th,93,84.7,Alert,7.7,8.5,7.2,7.7,6.8,6,7.4,8.6,7.7,8.4,8.8,8.2,4,5.9,5.3,2.7,6,7.2
Bangladesh,2014,29th,92.8,84.1,Alert,7.8,9.3,8.7,7,7.5,7.2,8.4,8.4,8,7.6,6.9,6,3.5,5.2,6.9,4.2,5.7,8.6
Sri Lanka,2014,30th,92.6,83.6,Alert,8.2,9.4,9.3,6.2,7.5,7.6,8.3,5.3,9.1,6.5,8.5,6.7,3.2,3.2,6.5,5.7,5.1,9.5
Nepal,2014,31st,91,81.9,Alert,7.3,8.3,9,7.1,7.8,6.2,7.6,7.4,7.6,7.8,7.6,7.3,2.8,4.8,5.2,3.5,7.4,9
Egypt,2014,31st,91,81.9,Alert,7.9,9.4,8.6,7.9,6.8,5.1,9,5.7,9.7,7.1,6.4,7.4,3.7,4.2,7.4,4.9,3.9,8.5
Timor-Leste,2014,31st,91,81.9,Alert,8,8.3,6.8,8.2,6.4,6.7,7.7,8.5,5.7,8.8,7.1,8.8,3.3,5.4,5.4,2.9,5.4,6.8
Rwanda,2014,34th,90.5,81.3,Alert,5.9,8.2,8.5,6.7,7.9,7.2,6.5,7.5,7.8,8,8.2,8.1,3.8,4.2,5.5,5.5,5.9,8.2
Sierra Leone,2014,35th,89.9,80.7,Alert,5.1,7.7,5.9,8.3,8.5,8.3,7.2,9.1,5.9,8.7,7.8,7.4,3,4.9,5,2.6,6,5.9
Mali,2014,36th,89.8,80.2,Alert,8,4.9,7.5,7.9,7.1,8.1,5.9,8.6,6.8,9,7.5,8.5,2.5,5.4,4.9,3,8.6,7.6
Congo Republic,2014,37th,89.6,79.6,Alert,6.4,6.7,6.3,6.7,8.1,6.5,8.4,8.8,7.6,8.1,8.1,7.9,3.8,4.4,4.9,2.8,6.7,6
Malawi,2014,38th,89.1,79,Alert,5.1,7.7,5.7,8.3,8.1,8.4,7.6,8.1,6.5,8.8,6.4,8.4,3.2,4.2,5.6,2.8,5.8,5.7
Burkina Faso,2014,39th,89,78.5,Alert,6.9,7.3,5.3,7.4,8.1,6.6,7.8,8.8,6.5,9,7.6,7.7,3.4,4.8,4.5,2.4,8.6,5.3
Cambodia,2014,40th,88.5,77.9,Alert,6.3,8.6,7.3,6.1,7.4,7.2,8.4,8,7.9,7.5,6.1,7.7,4,4.3,6.4,4.2,2,7
Libya,2014,41st,87.8,76.8,Alert,9.2,8.1,7.5,6.1,6.4,5.5,8.5,7.4,8.7,5.7,5.7,9,5.4,5.4,5.4,3.8,5.1,7.4
Togo,2014,41st,87.8,76.8,Alert,7.1,7.6,4.8,7.1,7.8,7.1,8.4,8.3,7.5,7.9,7.4,6.8,3.3,4.9,6,2.8,6.7,4.8
Angola,2014,43rd,87.4,76.2,Alert,5.8,7.2,7.1,5.4,9.5,6,8,9.1,7,9,7.5,5.8,4.5,5.9,5.6,3.8,5.2,6.8
Iran,2014,44th,87.2,75.7,Alert,8.3,9.4,8.8,6.4,6.4,5.9,8.7,4.8,9.3,5.3,6.8,7.1,3.8,4.5,7,7.3,5,8.8
Djibouti,2014,45th,87.1,75.1,Alert,6.9,7.6,6.4,7.2,7.5,5.5,7.9,7.7,6.9,8.1,7.4,8,2.7,6.5,5.5,6.7,5.6,6.2
Lebanon,2014,46th,86.9,74.5,Warning,8.6,9.3,8.9,5.6,6,5.7,7.3,5.7,6.8,6,8.6,8.4,3.9,3.2,6.2,3,6.3,8.5
Solomon Islands,2014,47th,86.4,74,Warning,6.7,8,6.8,7.5,8.6,6,7,7.9,6,8.2,5.2,8.5,5.4,5.4,5.4,5.4,5.4,6.8
Uzbekistan,2014,48th,86.3,73.4,Warning,7.6,8.8,7.4,7.1,7.3,6.6,9.3,5.4,9.3,6.4,5.7,5.4,2.9,6.6,4.6,6,6.8,7.5
Zambia,2014,49th,86.2,72.8,Warning,4.7,5.7,6,8,8.3,7.7,7.7,7.9,6.8,9.3,7.2,6.9,3.4,4.6,5,2.8,6.5,6
Mozambique,2014,50th,85.9,72.3,Warning,6.6,6.6,5.4,8.1,8.3,7.4,7.5,8.7,6.4,8.9,4.9,7.1,2.8,4.5,3.4,2.8,7.7,4.9
Swaziland,2014,51st,85.8,71.7,Warning,5.7,7,3.6,8.9,7.8,6.6,8.8,7.7,8,8.7,5.2,7.8,3.6,4.9,4.3,4.7,5.5,3.6
Equatorial Guinea,2014,52nd,85.3,70.6,Warning,7.2,8.2,6.6,4.2,8.8,6.3,9.7,7.4,9.5,8,3.6,5.8,5.4,5.4,5.4,6.7,5.4,6.6
Philippines,2014,52nd,85.3,70.6,Warning,8.8,8,8.3,5.7,6.3,5.9,7.3,6.9,6.4,7.8,7.7,6.2,4.2,3.6,4.3,4.3,6.4,7.9
Comoros,2014,54th,85.1,70,Warning,7.5,7.5,5.3,8.3,6.7,7.5,7.1,8.2,6.9,7.3,4.8,8,5.4,3.2,4.7,2.5,6.5,5.3
Tajikistan,2014,55th,84.6,69.4,Warning,7.1,8.4,7,7.7,5.9,6.1,9,6.2,7.9,7.5,5.1,6.7,3.3,4.9,5.8,3.6,4.7,6.7
Laos,2014,56th,84.3,68.9,Warning,6.3,8.3,6,5.8,6.6,7.1,8.6,7.4,8,7.4,5.9,6.9,2.6,4,4.8,6.8,6.3,6.1
Papua New Guinea,2014,57th,84.1,68.3,Warning,6.4,7.1,6.6,6.6,9.3,7.3,6.6,9,6.3,7.6,4.9,6.4,4.4,5.4,5.4,2.3,5.4,6.6
Kyrgyz Republic,2014,58th,83.9,67.7,Warning,7.1,8,8.2,7.3,6.7,6.1,8.2,5.9,7.3,6,5.5,7.6,3.7,4.9,6.3,3.2,4.6,8.4
Colombia,2014,59th,83.1,66.1,Warning,7,7.7,7.7,4.1,7.8,7,7.4,6.3,7.1,6.2,8,6.8,5.1,2.7,4,3.7,7,7.5
Gambia,2014,59th,83.1,66.1,Warning,5.2,6.8,3.7,7.5,7.1,7.4,7.5,7.8,8.3,7.9,6.7,7.2,4,6.7,5.4,4.5,5.4,3.7
